State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name
Madhya Pradesh,Agar Malwa,2025-02-02,2025,02,19.0464438627,NRSC VIC MODEL
Madhya Pradesh,Agar Malwa,2025-02-08,2025,02,18.8783936043,NRSC VIC MODEL
Madhya Pradesh,Agar Malwa,2025-02-10,2025,02,18.8305409992,NRSC VIC MODEL
Madhya Pradesh,Agar Malwa,2025-02-17,2025,02,18.7131168288,NRSC VIC MODEL
Madhya Pradesh,Agar Malwa,2025-02-24,2025,02,18.6286278804,NRSC VIC MODEL
Madhya Pradesh,Agar Malwa,2025-02-25,2025,02,18.6231757859,NRSC VIC MODEL
Madhya Pradesh,Agar Malwa,2025-02-26,2025,02,18.6167655059,NRSC VIC MODEL
Madhya Pradesh,Alirajpur,2025-02-09,2025,02,11.6417605353,NRSC VIC MODEL
Madhya Pradesh,Alirajpur,2025-02-13,2025,02,11.527703972,NRSC VIC MODEL
Madhya Pradesh,Alirajpur,2025-02-20,2025,02,11.4073555454,NRSC VIC MODEL
Madhya Pradesh,Alirajpur,2025-02-27,2025,02,11.3013175136,NRSC VIC MODEL
Madhya Pradesh,Anuppur,2025-02-04,2025,02,11.1934524349,NRSC VIC MODEL
Madhya Pradesh,Anuppur,2025-02-08,2025,02,11.0555950807,NRSC VIC MODEL
Madhya Pradesh,Anuppur,2025-02-13,2025,02,10.9037694319,NRSC VIC MODEL
Madhya Pradesh,Anuppur,2025-02-14,2025,02,10.8735980535,NRSC VIC MODEL
Madhya Pradesh,Anuppur,2025-02-17,2025,02,10.7801878858,NRSC VIC MODEL
Madhya Pradesh,Anuppur,2025-02-19,2025,02,10.7170867406,NRSC VIC MODEL
Madhya Pradesh,Anuppur,2025-02-25,2025,02,10.5403198834,NRSC VIC MODEL
Madhya Pradesh,Ashoknagar,2025-02-01,2025,02,19.9432201966,NRSC VIC MODEL
Madhya Pradesh,Ashoknagar,2025-02-02,2025,02,19.9158507385,NRSC VIC MODEL
Madhya Pradesh,Balaghat,2025-02-09,2025,02,10.4366711208,NRSC VIC MODEL
Madhya Pradesh,Balaghat,2025-02-19,2025,02,10.2964565322,NRSC VIC MODEL
Madhya Pradesh,Balaghat,2025-02-20,2025,02,10.2840095717,NRSC VIC MODEL
